date,unrate,pce
1990-01-01,5.4,3730.7
1990-02-01,5.3,3728.2
1990-03-01,5.2,3754.9
1990-04-01,5.4,3770.0
1990-05-01,5.4,3775.8
1990-06-01,5.2,3804.5
1990-07-01,5.5,3821.7
1990-08-01,5.7,3848.3
1990-09-01,5.9,3870.1
1990-10-01,5.9,3870.6
1990-11-01,6.2,3871.9
1990-12-01,6.3,3861.3
1991-01-01,6.4,3841.0
1991-02-01,6.6,3866.7
1991-03-01,6.8,3913.0
1991-04-01,6.7,3907.1
1991-05-01,6.9,3933.2
1991-06-01,6.9,3940.5
1991-07-01,6.8,3966.0
1991-08-01,6.9,3969.1
1991-09-01,6.9,3984.7
1991-10-01,7.0,3976.0
1991-11-01,7.0,4003.6
1991-12-01,7.3,4020.5
1992-01-01,7.3,4084.7
1992-02-01,7.4,4099.5
1992-03-01,7.4,4117.0
1992-04-01,7.4,4131.5
1992-05-01,7.6,4158.4
1992-06-01,7.8,4177.1
1992-07-01,7.7,4204.8
1992-08-01,7.6,4220.9
1992-09-01,7.6,4255.3
1992-10-01,7.3,4284.7
1992-11-01,7.4,4300.5
1992-12-01,7.4,4336.4
1993-01-01,7.3,4340.7
1993-02-01,7.1,4355.3
1993-03-01,7.0,4352.5
1993-04-01,7.1,4393.4
1993-05-01,7.1,4422.4
1993-06-01,7.0,4440.0
1993-07-01,6.9,4468.9
1993-08-01,6.8,4481.1
1993-09-01,6.7,4511.5
1993-10-01,6.8,4532.8
1993-11-01,6.6,4554.1
1993-12-01,6.5,4571.1
1994-01-01,6.6,4585.1
1994-02-01,6.6,4632.6
1994-03-01,6.5,4646.0
1994-04-01,6.4,4671.1
1994-05-01,6.1,4669.5
1994-06-01,6.1,4708.9
1994-07-01,6.1,4720.6
1994-08-01,6.0,4762.6
1994-09-01,5.9,4775.0
1994-10-01,5.8,4812.9
1994-11-01,5.6,4825.6
1994-12-01,5.5,4841.6
1995-01-01,5.6,4851.2
1995-02-01,5.4,4850.8
1995-03-01,5.4,4885.4
1995-04-01,5.8,4890.2
1995-05-01,5.6,4933.1
1995-06-01,5.6,4977.5
1995-07-01,5.7,4970.2
1995-08-01,5.7,5005.3
1995-09-01,5.6,5020.5
1995-10-01,5.5,5013.9
1995-11-01,5.6,5055.6
1995-12-01,5.6,5097.5
1996-01-01,5.6,5085.7
1996-02-01,5.5,5132.8
1996-03-01,5.5,5173.3
1996-04-01,5.6,5208.0
1996-05-01,5.6,5223.8
1996-06-01,5.3,5229.8
1996-07-01,5.5,5251.9
1996-08-01,5.1,5275.0
1996-09-01,5.2,5296.6
1996-10-01,5.2,5328.5
1996-11-01,5.4,5351.2
1996-12-01,5.4,5378.6
1997-01-01,5.3,5411.1
1997-02-01,5.2,5434.0
1997-03-01,5.2,5454.2
1997-04-01,5.1,5459.3
1997-05-01,4.9,5460.2
1997-06-01,5.0,5494.2
1997-07-01,4.9,5548.8
1997-08-01,4.8,5587.0
1997-09-01,4.9,5601.7
1997-10-01,4.7,5637.7
1997-11-01,4.6,5661.1
1997-12-01,4.7,5692.1
1998-01-01,4.6,5689.9
1998-02-01,4.6,5723.8
1998-03-01,4.7,5750.3
1998-04-01,4.3,5788.1
1998-05-01,4.4,5837.9
1998-06-01,4.5,5871.7
1998-07-01,4.5,5890.0
1998-08-01,4.5,5925.0
1998-09-01,4.6,5965.6
1998-10-01,4.5,5998.8
1998-11-01,4.4,6015.4
1998-12-01,4.4,6070.5
1999-01-01,4.3,6073.9
1999-02-01,4.4,6099.2
1999-03-01,4.2,6133.0
1999-04-01,4.3,6199.5
1999-05-01,4.2,6232.1
1999-06-01,4.3,6260.3
1999-07-01,4.3,6287.6
1999-08-01,4.2,6331.9
1999-09-01,4.2,6386.5
1999-10-01,4.1,6411.4
1999-11-01,4.1,6448.7
1999-12-01,4.0,6541.0
2000-01-01,4.0,6542.9
2000-02-01,4.1,6625.3
2000-03-01,4.0,6686.5
2000-04-01,3.8,6679.1
2000-05-01,4.0,6709.7
2000-06-01,4.0,6746.9
2000-07-01,4.0,6768.5
2000-08-01,4.1,6802.8
2000-09-01,3.9,6888.6
2000-10-01,3.9,6893.8
2000-11-01,3.9,6909.8
2000-12-01,3.9,6952.2
2001-01-01,4.2,6987.4
2001-02-01,4.2,7001.8
2001-03-01,4.3,6996.7
2001-04-01,4.4,7004.2
2001-05-01,4.3,7052.8
2001-06-01,4.5,7069.7
2001-07-01,4.6,7082.3
2001-08-01,4.9,7121.7
2001-09-01,5.0,7007.0
2001-10-01,5.3,7212.9
2001-11-01,5.5,7182.3
2001-12-01,5.7,7166.7
2002-01-01,5.7,7184.6
2002-02-01,5.7,7225.2
2002-03-01,5.7,7243.4
2002-04-01,5.9,7312.5
2002-05-01,5.8,7288.9
2002-06-01,5.8,7322.5
2002-07-01,5.8,7387.3
2002-08-01,5.7,7412.6
2002-09-01,5.7,7391.5
2002-10-01,5.7,7435.2
2002-11-01,5.9,7463.8
2002-12-01,6.0,7519.9
2003-01-01,5.8,7541.3
2003-02-01,5.9,7548.6
2003-03-01,5.9,7611.5
2003-04-01,6.0,7634.5
2003-05-01,6.1,7650.3
2003-06-01,6.3,7699.6
2003-07-01,6.2,7757.0
2003-08-01,6.1,7852.1
2003-09-01,6.1,7853.7
2003-10-01,6.0,7867.4
2003-11-01,5.8,7922.6
2003-12-01,5.7,7950.4
2004-01-01,5.7,8007.1
2004-02-01,5.6,8040.4
2004-03-01,5.8,8098.8
2004-04-01,5.6,8107.2
2004-05-01,5.6,8176.5
2004-06-01,5.6,8157.6
2004-07-01,5.5,8236.9
2004-08-01,5.4,8271.6
2004-09-01,5.4,8341.5
2004-10-01,5.5,8397.1
2004-11-01,5.4,8444.5
2004-12-01,5.4,8504.4
2005-01-01,5.3,8497.7
2005-02-01,5.4,8559.1
2005-03-01,5.2,8598.4
2005-04-01,5.2,8678.4
2005-05-01,5.1,8671.6
2005-06-01,5.0,8753.4
